Date,Open,High,Low,Close,Volume
2000-01-03,23.497179151709524,23.57072274842849,22.9088303779578,23.31332015991211,4520600
2000-01-04,23.12944796158304,23.276535071036665,22.577871301131932,22.83527374267578,4216500
2000-01-05,22.835284975175814,23.75457986145503,22.835284975175814,23.2030029296875,5231600
2000-01-06,23.01914222447435,23.166229395237764,22.761739675638374,22.872055053710938,4809400
2000-01-07,22.945598351170652,23.533947026841695,22.87205476671177,23.460403442382812,5124700
2000-01-10,23.5339431643672,24.12229174347638,23.386856019589906,23.570714950561523,4113900
2000-01-11,23.607488428674092,24.41646778292772,23.607488428674092,24.12229347229004,5440200
2000-01-12,24.08552494662547,25.335765936221296,23.90166597756726,25.151906967163086,8090000
2000-01-13,25.115137235452718,25.666714187915076,24.637103876652006,24.894506454467773,5700200
2000-01-14,25.188678325993,25.188678325993,24.63710142834352,25.069169998168945,3365400
2000-01-18,24.931276602917407,25.004820191716572,24.232612509325328,24.416471481323242,3401100
2000-01-19,24.122300544671255,25.07836733455152,24.122300544671255,24.9312801361084,3344700
2000-01-20,25.041587829589844,25.041587829589844,24.122293122189337,25.041587829589844,3309700
2000-01-21,24.49001714628037,24.637104336348116,23.791352993458556,24.15907096862793,3722600
2000-01-24,24.269380991971946,24.379696360117272,23.239770889282227,23.239770889282227,3593500
2000-01-25,23.386850354061394,23.681024572351475,23.055904358485055,23.423622131347656,3304500
2000-01-26,23.313328156104454,23.313328156104454,20.40835508933434,21.033475875854492,16703200
2000-01-27,21.180556591959096,22.32048238076245,21.107012992681458,22.13662338256836,12082200
2000-01-28,21.842447417122976,22.026306402115594,21.401185853140696,21.621816635131836,4444200
2000-01-31,21.915992685783667,22.357254283484007,21.842449086166944,21.98953628540039,4838300
2000-02-01,22.02630839819794,22.099851998859705,21.47473139323472,21.548274993896484,4679500
2000-02-02,21.5482715418641,21.62181513074418,20.812835653063278,20.88637924194336,5769100
2000-02-03,20.923151200158255,21.290869147436958,20.26125889505659,20.592205047607422,9225700
2000-02-04,21.10701402820302,21.10701402820302,20.371577999345774,20.665752410888672,7752200
2000-02-07,20.739294171546568,20.959924960605573,20.00385820801655,20.555435180664062,9992900
